ticker,as_of_date,recommendation,reason,price_change_%
MSFT,2025-04-01,BUY,2 out of 6 signals indicate BUY.,11.32
MSFT,2025-05-01,BUY,1 out of 6 signals indicate BUY.,5.76
MSFT,2025-06-01,HOLD,No signals strongly indicate a buy condition.,6.51
AAPL,2025-04-01,BUY,2 out of 6 signals indicate BUY.,-4.72
AAPL,2025-05-01,BUY,2 out of 6 signals indicate BUY.,-2.19
AAPL,2025-06-01,BUY,1 out of 6 signals indicate BUY.,3.03
GOOGL,2025-04-01,BUY,1 out of 6 signals indicate BUY.,2.71
GOOGL,2025-05-01,BUY,2 out of 6 signals indicate BUY.,4.7
GOOGL,2025-06-01,BUY,2 out of 6 signals indicate BUY.,4.03
AMZN,2025-04-01,BUY,2 out of 6 signals indicate BUY.,-2.96
AMZN,2025-05-01,BUY,2 out of 6 signals indicate BUY.,7.91
AMZN,2025-06-01,BUY,1 out of 6 signals indicate BUY.,6.68
